nohup: ignoring input
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Device: cuda
Loaded V4 NN: obs_dim=8, act_dim=3, hidden=(64, 64)
High-level: obs_dim=13, act_dim=2
[ 1180] MISSED | Steps=  30 | Reward=  -2.08 | Rate= 68.0% | AvgR= 140.07 | LR=8.77e-05
[ 1190] CAUGHT | Steps=  40 | Reward= 233.37 | Rate= 67.0% | AvgR= 137.47 | LR=8.75e-05
[ 1200] CAUGHT | Steps=  77 | Reward= 145.83 | Rate= 66.0% | AvgR= 135.98 | LR=8.74e-05
[ 1210] MISSED | Steps=  23 | Reward=   9.97 | Rate= 67.0% | AvgR= 139.81 | LR=8.72e-05
[ 1220] CAUGHT | Steps=  48 | Reward= 251.78 | Rate= 66.0% | AvgR= 137.75 | LR=8.69e-05
[ 1230] CAUGHT | Steps=  53 | Reward= 235.24 | Rate= 65.0% | AvgR= 135.03 | LR=8.67e-05
[ 1240] MISSED | Steps=  11 | Reward= -15.55 | Rate= 62.0% | AvgR= 126.93 | LR=8.65e-05
[ 1250] MISSED | Steps=   7 | Reward= -36.29 | Rate= 61.0% | AvgR= 124.40 | LR=8.63e-05
[ 1260] MISSED | Steps=  13 | Reward=   8.17 | Rate= 58.0% | AvgR= 119.14 | LR=8.61e-05
[ 1270] CAUGHT | Steps=  56 | Reward= 159.51 | Rate= 58.0% | AvgR= 118.79 | LR=8.59e-05
[ 1280] CAUGHT | Steps=  28 | Reward= 245.64 | Rate= 58.0% | AvgR= 119.36 | LR=8.57e-05
[ 1290] CAUGHT | Steps=  57 | Reward= 189.85 | Rate= 58.0% | AvgR= 118.63 | LR=8.55e-05
[ 1300] CAUGHT | Steps=  27 | Reward= 253.61 | Rate= 60.0% | AvgR= 124.54 | LR=8.53e-05
[ 1310] MISSED | Steps=  46 | Reward=  -3.98 | Rate= 57.0% | AvgR= 118.24 | LR=8.51e-05
[ 1320] CAUGHT | Steps=  58 | Reward= 182.96 | Rate= 58.0% | AvgR= 120.35 | LR=8.48e-05
[ 1330] MISSED | Steps=   3 | Reward= -23.14 | Rate= 56.0% | AvgR= 117.95 | LR=8.46e-05
[ 1340] CAUGHT | Steps=  73 | Reward= 233.43 | Rate= 58.0% | AvgR= 122.70 | LR=8.44e-05
[ 1350] CAUGHT | Steps=  74 | Reward= 229.92 | Rate= 59.0% | AvgR= 126.02 | LR=8.42e-05
[ 1360] CAUGHT | Steps=  78 | Reward= 232.01 | Rate= 60.0% | AvgR= 129.92 | LR=8.39e-05
[ 1370] MISSED | Steps=   3 | Reward= -21.38 | Rate= 57.0% | AvgR= 123.73 | LR=8.37e-05
[ 1380] CAUGHT | Steps=  68 | Reward= 225.23 | Rate= 57.0% | AvgR= 124.63 | LR=8.35e-05
[ 1390] MISSED | Steps=  15 | Reward= -11.58 | Rate= 58.0% | AvgR= 129.19 | LR=8.33e-05
[ 1400] CAUGHT | Steps=  75 | Reward= 225.74 | Rate= 55.0% | AvgR= 121.55 | LR=8.30e-05
[ 1410] CAUGHT | Steps=  40 | Reward= 245.33 | Rate= 55.0% | AvgR= 121.65 | LR=8.28e-05
[ 1420] CAUGHT | Steps=  27 | Reward= 216.29 | Rate= 56.0% | AvgR= 124.51 | LR=8.26e-05
[ 1430] CAUGHT | Steps=  51 | Reward= 226.13 | Rate= 58.0% | AvgR= 127.65 | LR=8.24e-05
[ 1440] CAUGHT | Steps=  51 | Reward= 220.46 | Rate= 59.0% | AvgR= 130.83 | LR=8.21e-05
[ 1450] CAUGHT | Steps=  53 | Reward= 191.23 | Rate= 60.0% | AvgR= 131.79 | LR=8.19e-05
[ 1460] MISSED | Steps=  52 | Reward=  21.43 | Rate= 59.0% | AvgR= 127.74 | LR=8.16e-05
[ 1470] CAUGHT | Steps=  60 | Reward= 224.16 | Rate= 60.0% | AvgR= 131.12 | LR=8.14e-05
[ 1480] MISSED | Steps=   2 | Reward= -25.37 | Rate= 61.0% | AvgR= 133.39 | LR=8.12e-05
[ 1490] CAUGHT | Steps=  44 | Reward= 205.48 | Rate= 60.0% | AvgR= 129.14 | LR=8.09e-05
[ 1500] CAUGHT | Steps=  77 | Reward= 214.01 | Rate= 61.0% | AvgR= 131.36 | LR=8.07e-05
[ 1510] CAUGHT | Steps=  38 | Reward= 205.67 | Rate= 62.0% | AvgR= 132.79 | LR=8.05e-05
[ 1520] CAUGHT | Steps=  49 | Reward= 207.11 | Rate= 59.0% | AvgR= 126.61 | LR=8.02e-05
[ 1530] MISSED | Steps=  13 | Reward=  -3.35 | Rate= 61.0% | AvgR= 131.80 | LR=8.00e-05
[ 1540] MISSED | Steps=   7 | Reward= -17.40 | Rate= 57.0% | AvgR= 122.22 | LR=7.97e-05
[ 1550] MISSED | Steps=  13 | Reward=  -5.56 | Rate= 54.0% | AvgR= 115.86 | LR=7.95e-05
[ 1560] MISSED | Steps=  13 | Reward=  -6.41 | Rate= 55.0% | AvgR= 118.31 | LR=7.92e-05
[ 1570] CAUGHT | Steps=  51 | Reward= 202.15 | Rate= 57.0% | AvgR= 122.74 | LR=7.90e-05
[ 1580] MISSED | Steps=   1 | Reward= -30.00 | Rate= 54.0% | AvgR= 116.87 | LR=skip
[ 1590] CAUGHT | Steps=  25 | Reward= 218.61 | Rate= 53.0% | AvgR= 114.21 | LR=7.85e-05
[ 1600] MISSED | Steps=  10 | Reward= -11.14 | Rate= 50.0% | AvgR= 108.26 | LR=7.83e-05
[ 1610] CAUGHT | Steps=  65 | Reward= 224.12 | Rate= 50.0% | AvgR= 108.78 | LR=7.80e-05
[ 1620] MISSED | Steps=   6 | Reward= -10.45 | Rate= 52.0% | AvgR= 112.82 | LR=7.78e-05
[ 1630] MISSED | Steps=  55 | Reward=  57.79 | Rate= 52.0% | AvgR= 110.88 | LR=7.75e-05
[ 1640] MISSED | Steps=   1 | Reward= -30.00 | Rate= 51.0% | AvgR= 111.00 | LR=skip
[ 1650] CAUGHT | Steps=  41 | Reward= 226.07 | Rate= 52.0% | AvgR= 112.87 | LR=7.70e-05
[ 1660] MISSED | Steps=   7 | Reward= -15.55 | Rate= 51.0% | AvgR= 110.41 | LR=7.68e-05
[ 1670] MISSED | Steps=   6 | Reward= -15.95 | Rate= 50.0% | AvgR= 107.77 | LR=7.65e-05
[ 1680] CAUGHT | Steps=  57 | Reward= 198.79 | Rate= 50.0% | AvgR= 106.52 | LR=7.63e-05
[ 1690] CAUGHT | Steps=  50 | Reward= 230.90 | Rate= 50.0% | AvgR= 107.71 | LR=7.60e-05
[ 1700] MISSED | Steps=  12 | Reward=  10.23 | Rate= 48.0% | AvgR= 101.97 | LR=7.58e-05
[ 1710] MISSED | Steps=   6 | Reward= -22.16 | Rate= 46.0% | AvgR=  96.56 | LR=7.55e-05
[ 1720] CAUGHT | Steps=  19 | Reward= 205.27 | Rate= 45.0% | AvgR=  94.20 | LR=7.52e-05
[ 1730] MISSED | Steps=   1 | Reward= -30.00 | Rate= 42.0% | AvgR=  87.15 | LR=skip
[ 1740] CAUGHT | Steps=  46 | Reward= 213.03 | Rate= 44.0% | AvgR=  90.36 | LR=7.48e-05
[ 1750] MISSED | Steps=  15 | Reward=   6.86 | Rate= 44.0% | AvgR=  90.65 | LR=7.45e-05
[ 1760] CAUGHT | Steps=  28 | Reward= 220.88 | Rate= 47.0% | AvgR=  96.37 | LR=7.42e-05
[ 1770] CAUGHT | Steps=  36 | Reward= 205.54 | Rate= 46.0% | AvgR=  93.92 | LR=7.40e-05
[ 1780] CAUGHT | Steps=  50 | Reward= 217.05 | Rate= 46.0% | AvgR=  94.96 | LR=7.37e-05
[ 1790] MISSED | Steps=  53 | Reward=  88.60 | Rate= 44.0% | AvgR=  90.63 | LR=7.34e-05
[ 1800] CAUGHT | Steps=  77 | Reward= 252.19 | Rate= 49.0% | AvgR= 102.25 | LR=7.32e-05
[ 1810] CAUGHT | Steps=  70 | Reward= 207.80 | Rate= 48.0% | AvgR= 100.24 | LR=7.29e-05
[ 1820] MISSED | Steps=   2 | Reward= -25.80 | Rate= 45.0% | AvgR=  92.46 | LR=7.26e-05
[ 1830] CAUGHT | Steps=  68 | Reward= 204.07 | Rate= 46.0% | AvgR=  95.92 | LR=7.24e-05
[ 1840] MISSED | Steps=  66 | Reward=  81.88 | Rate= 46.0% | AvgR=  96.53 | LR=7.22e-05
