Episode,Captured,Steps,Reward,CaptureRate,LR
376,1,58,201.97,54.0,9.87e-05
377,0,6,-33.28,54.0,9.87e-05
378,0,28,40.15,53.0,9.87e-05
379,0,49,44.02,53.0,9.87e-05
380,0,47,7.94,52.0,9.87e-05
381,1,53,206.83,53.0,9.87e-05
382,1,26,210.85,54.0,9.87e-05
383,0,13,13.47,53.0,9.87e-05
384,1,56,237.10,54.0,9.86e-05
385,0,3,-30.46,53.0,9.86e-05
386,1,50,230.15,53.0,9.86e-05
387,0,13,-3.35,53.0,9.86e-05
388,1,41,227.88,53.0,9.86e-05
389,1,48,242.92,54.0,9.86e-05
390,0,4,-23.21,54.0,9.86e-05
391,1,40,234.29,54.0,9.86e-05
392,1,42,220.93,54.0,9.86e-05
393,0,2,-33.92,53.0,9.86e-05
394,0,23,9.07,52.0,9.86e-05
395,1,77,220.44,52.0,9.86e-05
396,1,56,178.13,53.0,9.86e-05
397,0,2,-26.60,52.0,9.86e-05
398,0,2,-24.89,52.0,9.85e-05
399,1,45,204.51,53.0,9.85e-05
400,0,36,49.50,53.0,9.85e-05
401,1,49,251.80,53.0,9.85e-05
402,1,43,207.04,53.0,9.85e-05
403,0,9,-2.35,52.0,9.85e-05
404,0,11,7.12,51.0,9.85e-05
405,0,29,2.82,51.0,9.85e-05
406,1,76,221.00,52.0,9.85e-05
407,1,45,227.68,53.0,9.85e-05
408,1,47,205.20,53.0,9.85e-05
409,1,42,224.39,54.0,9.85e-05
410,0,9,-21.58,54.0,9.85e-05
411,0,14,-2.81,53.0,9.84e-05
412,1,64,217.51,53.0,9.84e-05
413,1,70,211.01,53.0,9.84e-05
414,1,63,193.12,53.0,9.84e-05
415,0,2,-25.23,53.0,9.84e-05
416,1,18,216.71,54.0,9.84e-05
417,0,52,63.21,53.0,9.84e-05
418,0,42,50.00,52.0,9.84e-05
419,0,17,14.03,52.0,9.84e-05
420,1,46,223.39,53.0,9.84e-05
421,0,30,24.76,52.0,9.84e-05
422,0,3,-24.44,52.0,9.84e-05
423,0,5,-21.60,52.0,9.84e-05
424,1,53,227.60,52.0,9.83e-05
425,1,58,254.50,53.0,9.83e-05
426,1,45,201.32,54.0,9.83e-05
427,0,14,-10.10,53.0,9.83e-05
428,0,16,-4.17,53.0,9.83e-05
429,1,47,202.36,54.0,9.83e-05
430,0,12,6.35,53.0,9.83e-05
431,1,41,205.63,53.0,9.83e-05
432,1,37,230.81,54.0,9.83e-05
433,0,8,-21.27,53.0,9.83e-05
434,1,74,232.72,53.0,9.83e-05
